sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,pred,correct,proba_0,proba_1,proba_2,z_0,z_1,z_2,exp_neg_z_0,exp_neg_z_1,exp_neg_z_2,proba_0_str,proba_1_str,proba_2_str,z_0_str,z_1_str,z_2_str,exp_neg_z_0_str,exp_neg_z_1_str,exp_neg_z_2_str
5.1,3.5,1.4,0.2,0,0,TRUE,0.981688967,0.018311019,1.44E-08,7.338803654,3.357032121,-10.69583578,0.000649827,0.034838502,44171.53143,'0.9816889669,'0.0183110187,'0.0000000144,'7.3388036542,'3.3570321210,'-10.6958357752,'0.0006498275,'0.0348385021,'44171.5314263482
4.9,3,1.4,0.2,0,0,TRUE,0.971557277,0.028442693,3.02E-08,6.939318366,3.40830942,-10.34762779,0.00096893,0.033097106,31182.98231,'0.9715572772,'0.0284426927,'0.0000000302,'6.9393183658,'3.4083094203,'-10.3476277862,'0.0009689298,'0.0330971064,'31182.9823084623
4.7,3.2,1.3,0.2,0,0,TRUE,0.985360132,0.014639855,1.23E-08,7.468576652,3.259317098,-10.72789375,0.00057074,0.038414622,45610.52365,'0.9853601322,'0.0146398555,'0.0000000123,'7.4685766524,'3.2593170983,'-10.7278937507,'0.0005707401,'0.0384146225,'45610.5236532490
4.6,3.1,1.5,0.2,0,0,TRUE,0.976172122,0.023827838,3.97E-08,6.909994284,3.197209928,-10.10720421,0.000997763,0.040876092,24519.01487,'0.9761721221,'0.0238278382,'0.0000000397,'6.9099942844,'3.1972099282,'-10.1072042126,'0.0009977635,'0.0408760923,'24519.0148686670
5,3.6,1.4,0.2,0,0,TRUE,0.985299318,0.01470067,1.20E-08,7.477465268,3.272412853,-10.74987812,0.000565689,0.037914834,46624.34557,'0.9852993182,'0.0147006698,'0.0000000120,'7.4774652675,'3.2724128533,'-10.7498781208,'0.0005656895,'0.0379148337,'46624.3455706072
5.4,3.9,1.7,0.4,0,0,TRUE,0.970289605,0.029710322,7.36E-08,6.626920952,3.140820888,-9.76774184,0.001324234,0.043247282,17461.29228,'0.9702896045,'0.0297103219,'0.0000000736,'6.6269209523,'3.1408208882,'-9.7677418405,'0.0013242342,'0.0432472821,'17461.2922816873
4.6,3.4,1.4,0.3,0,0,TRUE,0.986809706,0.013190274,2.00E-08,7.343539538,3.028542075,-10.37208161,0.000646757,0.04838613,31954.92556,'0.9868097058,'0.0131902742,'0.0000000200,'7.3435395380,'3.0285420747,'-10.3720816126,'0.0006467572,'0.0483861301,'31954.9255624775
5,3.4,1.5,0.2,0,0,TRUE,0.97626965,0.023730322,2.77E-08,7.032156346,3.315171164,-10.34732751,0.000883026,0.03632783,31173.62022,'0.9762696502,'0.0237303222,'0.0000000277,'7.0321563461,'3.3151711642,'-10.3473275103,'0.0008830256,'0.0363278300,'31173.6202176618
4.4,2.9,1.4,0.2,0,0,TRUE,0.979732812,0.020267157,3.07E-08,7.052504848,3.174226655,-10.2267315,0.000865239,0.041826438,27632.04704,'0.9797328122,'0.0202671571,'0.0000000307,'7.0525048481,'3.1742266546,'-10.2267315027,'0.0008652389,'0.0418264379,'27632.0470387924
4.9,3.1,1.5,0.1,0,0,TRUE,0.96897819,0.031021779,3.17E-08,6.892520835,3.450968225,-10.34348906,0.001015351,0.031714914,31054.1912,'0.9689781897,'0.0310217786,'0.0000000317,'6.8925208351,'3.4509682255,'-10.3434890606,'0.0010153511,'0.0317149143,'31054.1912016949
5.4,3.7,1.5,0.2,0,0,TRUE,0.976366785,0.023633196,1.93E-08,7.154318408,3.4331324,-10.58745081,0.000781482,0.032285651,39634.32473,'0.9763667852,'0.0236331955,'0.0000000193,'7.1543184078,'3.4331324002,'-10.5874508080,'0.0007814820,'0.0322856506,'39634.3247345095
4.8,3.4,1.6,0.2,0,0,TRUE,0.975288821,0.024711135,4.39E-08,6.864170651,3.18869094,-10.05286159,0.001044548,0.041225803,23222.14414,'0.9752888214,'0.0247111348,'0.0000000439,'6.8641706514,'3.1886909397,'-10.0528615911,'0.0010445484,'0.0412258027,'23222.1441373358
4.8,3,1.4,0.1,0,0,TRUE,0.974422779,0.0255772,2.15E-08,7.089743647,3.449599695,-10.53934334,0.000833611,0.031758347,37772.75454,'0.9744227787,'0.0255771998,'0.0000000215,'7.0897436470,'3.4495996953,'-10.5393433423,'0.0008336110,'0.0317583468,'37772.7545376269
4.3,3,1.1,0.1,0,0,TRUE,0.991923348,0.008076648,3.89E-09,8.05542224,3.244753307,-11.30017555,0.000317376,0.038978179,80835.82681,'0.9919233484,'0.0080766477,'0.0000000039,'8.0554222399,'3.2447533074,'-11.3001755473,'0.0003173764,'0.0389781788,'80835.8268070405
5.8,4,1.2,0.2,0,0,TRUE,0.988114191,0.011885806,2.81E-09,8.032285649,3.611832276,-11.64411793,0.000324805,0.027002326,114018.7201,'0.9881141914,'0.0118858058,'0.0000000028,'8.0322856494,'3.6118322761,'-11.6441179256,'0.0003248050,'0.0270023258,'114018.7201327984
5.7,4.4,1.5,0.4,0,0,TRUE,0.986680901,0.013319086,1.28E-08,7.488301678,3.183153021,-10.6714547,0.000559593,0.041454741,43107.6045,'0.9866809014,'0.0133190858,'0.0000000128,'7.4883016779,'3.1831530211,'-10.6714546990,'0.0005595925,'0.0414547412,'43107.6045000375
5.4,3.9,1.3,0.4,0,0,TRUE,0.988024619,0.011975371,9.21E-09,7.634661192,3.221805742,-10.85646693,0.000483402,0.039882975,51868.49923,'0.9880246193,'0.0119753715,'0.0000000092,'7.6346611921,'3.2218057415,'-10.8564669336,'0.0004834024,'0.0398829749,'51868.4992297509
5.1,3.5,1.4,0.3,0,0,TRUE,0.981434808,0.018565172,1.97E-08,7.230353056,3.26262484,-10.4929779,0.000724265,0.038287767,36061.38471,'0.9814348079,'0.0185651724,'0.0000000197,'7.2303530556,'3.2626248404,'-10.4929778961,'0.0007242651,'0.0382877667,'36061.3847061007
5.7,3.8,1.7,0.3,0,0,TRUE,0.95633985,0.043660081,6.85E-08,6.512760572,3.426081448,-9.93884202,0.001484376,0.0325141,20719.73734,'0.9563398500,'0.0436600815,'0.0000000685,'6.5127605723,'3.4260814476,'-9.9388420199,'0.0014843763,'0.0325140997,'20719.7373446252
5.1,3.8,1.5,0.3,0,0,TRUE,0.984024676,0.015975304,2.05E-08,7.268478788,3.147871841,-10.41635063,0.000697172,0.04294342,33401.31765,'0.9840246755,'0.0159753039,'0.0000000205,'7.2684787878,'3.1478718408,'-10.4163506286,'0.0006971717,'0.0429434201,'33401.3176453758
5.4,3.4,1.7,0.2,0,0,TRUE,0.946507585,0.053492328,8.65E-08,6.360387496,3.48714676,-9.847534256,0.001728697,0.030588023,18911.66593,'0.9465075851,'0.0534923284,'0.0000000865,'6.3603874958,'3.4871467599,'-9.8475342556,'0.0017286967,'0.0305880228,'18911.6659300943
5.1,3.7,1.5,0.4,0,0,TRUE,0.981627783,0.018372184,3.29E-08,7.063341259,3.084966822,-10.14830808,0.000855913,0.045731551,25547.84074,'0.9816277835,'0.0183721836,'0.0000000329,'7.0633412586,'3.0849668224,'-10.1483080809,'0.0008559135,'0.0457315511,'25547.8407406456
4.6,3.6,1,0.2,0,0,TRUE,0.995978915,0.004021084,1.31E-09,8.653104238,3.140929684,-11.79403392,0.000174584,0.043242577,132459.7258,'0.9959789146,'0.0040210841,'0.0000000013,'8.6531042378,'3.1409296843,'-11.7940339221,'0.0001745841,'0.0432425773,'132459.7258156876
5.1,3.3,1.7,0.5,0,0,TRUE,0.952037808,0.047961955,2.37E-07,6.064272817,3.076076164,-9.140348981,0.002324448,0.046139948,9324.018468,'0.9520378076,'0.0479619551,'0.0000002373,'6.0642728172,'3.0760761636,'-9.1403489808,'0.0023244477,'0.0461399475,'9324.0184675381
4.8,3.4,1.9,0.2,0,0,TRUE,0.951681178,0.048318616,2.06E-07,6.108365471,3.1279523,-9.236317771,0.002224183,0.04380741,10263.17753,'0.9516811778,'0.0483186159,'0.0000002062,'6.1083654715,'3.1279522998,'-9.2363177713,'0.0022241833,'0.0438074099,'10263.1775268515
5,3,1.6,0.2,0,0,TRUE,0.951317942,0.048681971,8.70E-08,6.393473563,3.420933999,-9.814407563,0.001672437,0.032681896,18295.44796,'0.9513179416,'0.0486819715,'0.0000000870,'6.3934735633,'3.4209339993,'-9.8144075626,'0.0016724368,'0.0326818958,'18295.4479605262
5,3.4,1.6,0.4,0,0,TRUE,0.96944534,0.030554574,8.64E-08,6.563320089,3.10611039,-9.669430479,0.001411193,0.044774773,15826.33302,'0.9694453396,'0.0305545739,'0.0000000864,'6.5633200891,'3.1061103898,'-9.6694304788,'0.0014111926,'0.0447747735,'15826.3330246840
5.2,3.5,1.5,0.2,0,0,TRUE,0.974790213,0.025209762,2.50E-08,7.044893912,3.389902913,-10.43479682,0.000871849,0.03371195,34023.16261,'0.9747902134,'0.0252097616,'0.0000000250,'7.0448939116,'3.3899029132,'-10.4347968249,'0.0008718494,'0.0337119497,'34023.1626091166
5.2,3.4,1.4,0.2,0,0,TRUE,0.977212453,0.022787529,1.74E-08,7.200142041,3.441651389,-10.64179343,0.00074648,0.032011778,41847.75496,'0.9772124532,'0.0227875294,'0.0000000174,'7.2001420409,'3.4416513887,'-10.6417934295,'0.0007464798,'0.0320117778,'41847.7549587076
4.7,3.2,1.6,0.2,0,0,TRUE,0.97108886,0.028911081,5.85E-08,6.712771473,3.198578458,-9.911349931,0.001215291,0.04082019,20157.86736,'0.9710888600,'0.0289110815,'0.0000000585,'6.7127714725,'3.1985784584,'-9.9113499309,'0.0012152913,'0.0408201904,'20157.8673604623
4.8,3.1,1.6,0.2,0,0,TRUE,0.964115656,0.035884273,7.05E-08,6.574109859,3.283197726,-9.857307585,0.001396048,0.037508124,19097.40203,'0.9641156562,'0.0358842733,'0.0000000705,'6.5741098592,'3.2831977260,'-9.8573075852,'0.0013960480,'0.0375081241,'19097.4020268533
5.4,3.4,1.5,0.4,0,0,TRUE,0.964720289,0.035279654,5.76E-08,6.647356419,3.338824625,-9.986181044,0.001297447,0.035478634,21724.1765,'0.9647202889,'0.0352796535,'0.0000000576,'6.6473564186,'3.3388246254,'-9.9861810440,'0.0012974475,'0.0354786339,'21724.1765043503
5.2,4.1,1.5,0.1,0,0,TRUE,0.988320465,0.011679528,7.02E-09,7.733466094,3.295296621,-11.02876272,0.000437924,0.037057052,61621.29055,'0.9883204654,'0.0116795276,'0.0000000070,'7.7334660945,'3.2952966212,'-11.0287627157,'0.0004379236,'0.0370570515,'61621.2905526310
5.5,4.2,1.4,0.2,0,0,TRUE,0.988999234,0.011000761,5.30E-09,7.847713439,3.348984309,-11.19669775,0.000390644,0.035120007,72889.34494,'0.9889992340,'0.0110007607,'0.0000000053,'7.8477134388,'3.3489843086,'-11.1966977474,'0.0003906442,'0.0351200071,'72889.3449392474
4.9,3.1,1.5,0.2,0,0,TRUE,0.968553253,0.031446704,4.32E-08,6.784070237,3.356560945,-10.14063118,0.001131659,0.034854921,25352.46344,'0.9685532528,'0.0314467039,'0.0000000432,'6.7840702366,'3.3565609449,'-10.1406311815,'0.0011316594,'0.0348549211,'25352.4634419429
5,3.2,1.2,0.2,0,0,TRUE,0.98456668,0.015433312,8.00E-09,7.594587665,3.438914328,-11.03350199,0.000503167,0.032099516,61914.02406,'0.9845666800,'0.0154333120,'0.0000000080,'7.5945876646,'3.4389143284,'-11.0335019929,'0.0005031674,'0.0320995160,'61914.0240586378
5.5,3.5,1.3,0.2,0,0,TRUE,0.97881591,0.02118408,9.64E-09,7.422839984,3.589746357,-11.01258634,0.00059745,0.027605331,60632.50051,'0.9788159103,'0.0211840801,'0.0000000096,'7.4228399837,'3.5897463566,'-11.0125863403,'0.0005974500,'0.0276053314,'60632.5005089173
4.9,3.6,1.4,0.1,0,0,TRUE,0.986799169,0.013200822,8.50E-09,7.627890549,3.313703128,-10.94159368,0.000486686,0.0363812,56477.278,'0.9867991692,'0.0132008223,'0.0000000085,'7.6278905487,'3.3137031283,'-10.9415936770,'0.0004866864,'0.0363811997,'56477.2780003827
4.4,3,1.3,0.2,0,0,TRUE,0.985771185,0.014228799,1.55E-08,7.401126839,3.162970606,-10.56409744,0.000610564,0.042299898,38719.45418,'0.9857711851,'0.0142287993,'0.0000000155,'7.4011268388,'3.1629706058,'-10.5640974446,'0.0006105644,'0.0422998979,'38719.4541766998
5.1,3.4,1.5,0.2,0,0,TRUE,0.973963956,0.026036016,2.85E-08,6.990181664,3.36828817,-10.35846983,0.000920879,0.034448557,31522.90909,'0.9739639557,'0.0260360158,'0.0000000285,'6.9901816635,'3.3682881698,'-10.3584698333,'0.0009208792,'0.0344485570,'31522.9090931463
5,3.5,1.3,0.3,0,0,TRUE,0.98654035,0.013459639,1.14E-08,7.524262798,3.229754048,-10.75401685,0.000539826,0.039567229,46817.71081,'0.9865403500,'0.0134596386,'0.0000000114,'7.5242627982,'3.2297540482,'-10.7540168464,'0.0005398265,'0.0395672292,'46817.7108084697
4.5,2.3,1.3,0.3,0,0,TRUE,0.962009753,0.03799018,6.63E-08,6.573893043,3.342196166,-9.916089208,0.001396351,0.035359218,20253.62782,'0.9620097534,'0.0379901803,'0.0000000663,'6.5738930427,'3.3421961655,'-9.9160892082,'0.0013963508,'0.0353592177,'20253.6278213863
4.4,3.2,1.3,0.2,0,0,TRUE,0.988953499,0.01104649,1.13E-08,7.5945007,3.099966082,-10.69446678,0.000503211,0.04505073,44111.10227,'0.9889534991,'0.0110464896,'0.0000000113,'7.5945007003,'3.0999660816,'-10.6944667818,'0.0005032111,'0.0450507304,'44111.1022675435
5,3.5,1.6,0.6,0,0,TRUE,0.972275085,0.027724778,1.37E-07,6.443105823,2.885793567,-9.328899389,0.001591456,0.055810483,11258.73318,'0.9722750848,'0.0277247778,'0.0000001374,'6.4431058227,'2.8857935665,'-9.3288993893,'0.0015914562,'0.0558104826,'11258.7331811702
5.1,3.8,1.9,0.4,0,0,TRUE,0.960067101,0.039932676,2.23E-07,6.152287949,2.972479707,-9.124767656,0.002128606,0.051176251,9179.863887,'0.9600671014,'0.0399326760,'0.0000002226,'6.1522879494,'2.9724797070,'-9.1247676564,'0.0021286061,'0.0511762508,'9179.8638873458
4.8,3,1.4,0.3,0,0,TRUE,0.973713351,0.026286609,4.01E-08,6.87284245,3.260785134,-10.13362758,0.001035529,0.03835827,25175.52532,'0.9737133510,'0.0262866089,'0.0000000401,'6.8728424499,'3.2607851342,'-10.1336275841,'0.0010355294,'0.0383582698,'25175.5253198539
5.1,3.8,1.6,0.2,0,0,TRUE,0.980217177,0.019782797,2.53E-08,7.124994326,3.222032908,-10.34702723,0.000804738,0.039873916,31164.26094,'0.9802171774,'0.0197827973,'0.0000000253,'7.1249943264,'3.2220329081,'-10.3470272345,'0.0008047376,'0.0398739158,'31164.2609376492
4.6,3.2,1.4,0.2,0,0,TRUE,0.983253228,0.016746751,2.01E-08,7.258616275,3.185953879,-10.44457015,0.000704082,0.041338795,34357.31241,'0.9832532284,'0.0167467515,'0.0000000201,'7.2586162751,'3.1859538794,'-10.4445701545,'0.0007040816,'0.0413387948,'34357.3124109253
5.3,3.7,1.5,0.2,0,0,TRUE,0.978464396,0.021535585,1.87E-08,7.19629309,3.380015395,-10.57630849,0.000749358,0.034046931,39195.1575,'0.9784643958,'0.0215355854,'0.0000000187,'7.1962930904,'3.3800153946,'-10.5763084851,'0.0007493585,'0.0340469306,'39195.1575029512
5,3.3,1.4,0.2,0,0,TRUE,0.978552869,0.021447112,1.93E-08,7.187404475,3.36691964,-10.55432411,0.000756049,0.034495733,38342.87938,'0.9785528691,'0.0214471116,'0.0000000193,'7.1874044754,'3.3669196396,'-10.5543241150,'0.0007560489,'0.0344957331,'38342.8793799130
7,3.2,4.7,1.4,1,1,TRUE,0.002115951,0.874187006,0.123697043,-3.364040269,2.659749607,0.704290662,28.90574224,0.069965738,0.494459189,'0.0021159512,'0.8741870060,'0.1236970428,'-3.3640402688,'2.6597496070,'0.7042906618,'28.9057422407,'0.0699657385,'0.4944591887
6.4,3.2,4.5,1.5,1,1,TRUE,0.005772126,0.86001153,0.134216344,-2.716772652,2.28713272,0.429639932,15.13140903,0.101557238,0.650743364,'0.0057721257,'0.8600115299,'0.1342163444,'-2.7167726518,'2.2871327196,'0.4296399322,'15.1314090316,'0.1015572379,'0.6507433643
6.9,3.1,4.9,1.5,1,1,TRUE,0.001053854,0.725428639,0.273517507,-4.031073235,2.503235156,1.527838079,56.32132486,0.08181987,0.217004307,'0.0010538544,'0.7254286390,'0.2735175066,'-4.0310732354,'2.5032351563,'1.5278380791,'56.3213248624,'0.0818198699,'0.2170043067
5.5,2.3,4,1.3,1,1,TRUE,0.015332743,0.939401189,0.045266069,-1.732606388,2.382645656,-0.650039268,5.655374816,0.092306044,1.91561605,'0.0153327428,'0.9394011886,'0.0452660686,'-1.7326063879,'2.3826456561,'-0.6500392682,'5.6553748162,'0.0923060441,'1.9156160503
6.5,2.8,4.6,1.5,1,1,TRUE,0.002362089,0.81483768,0.182800231,-3.397430117,2.44601256,0.951417557,29.88719468,0.086638364,0.386193184,'0.0023620887,'0.8148376800,'0.1828002313,'-3.3974301172,'2.4460125603,'0.9514175569,'29.8871946842,'0.0866383639,'0.3861931844
5.7,2.8,4.5,1.3,1,1,TRUE,0.006918511,0.860173632,0.132907857,-2.592796399,2.23013729,0.362659109,13.36709913,0.107513669,0.695823593,'0.0069185110,'0.8601736317,'0.1329078572,'-2.5927963993,'2.2301372901,'0.3626591092,'13.3670991344,'0.1075136686,'0.6958235929
6.3,3.3,4.7,1.6,1,1,TRUE,0.003734291,0.717378413,0.278887296,-3.190431757,2.067613745,1.122818012,24.2989164,0.126487253,0.325361628,'0.0037342910,'0.7173784134,'0.2788872956,'-3.1904317569,'2.0676137448,'1.1228180122,'24.2989164043,'0.1264872527,'0.3253616285
4.9,2.4,3.3,1,1,1,TRUE,0.147269366,0.849649724,0.00308091,0.704825854,2.457386695,-3.162212549,0.494194629,0.085658511,23.62280477,'0.1472693663,'0.8496497240,'0.0030809098,'0.7048258539,'2.4573866954,'-3.1622125493,'0.4941946288,'0.0856585105,'23.6228047706
6.6,2.9,4.6,1.3,1,1,TRUE,0.002763088,0.896597859,0.100639053,-3.125816672,2.656441865,0.469374807,22.77849006,0.07019755,0.625393137,'0.0027630880,'0.8965978587,'0.1006390533,'-3.1258166720,'2.6564418649,'0.4693748072,'22.7784900555,'0.0701975503,'0.6253931374
5.2,2.7,3.9,1.4,1,1,TRUE,0.041106446,0.912090862,0.046802692,-1.076450156,2.023124524,-0.946674368,2.934244929,0.132241627,2.577124823,'0.0411064456,'0.9120908624,'0.0468026920,'-1.0764501557,'2.0231245237,'-0.9466743680,'2.9342449289,'0.1322416268,'2.5771248233
5,2,3.5,1,1,1,TRUE,0.05568517,0.937766389,0.00654844,-0.227766672,2.596020323,-2.368253651,1.255792279,0.074569752,10.67872721,'0.0556851704,'0.9377663893,'0.0065484403,'-0.2277666715,'2.5960203228,'-2.3682536512,'1.2557922792,'0.0745697520,'10.6787272089
5.9,3,4.2,1.5,1,1,TRUE,0.015050352,0.89888951,0.086060138,-1.94446792,2.145290856,-0.200822936,6.989911675,0.117033992,1.222408308,'0.0150503515,'0.8988895103,'0.0860601381,'-1.9444679203,'2.1452908559,'-0.2008229356,'6.9899116752,'0.1170339921,'1.2224083077
6,2.2,4,1,1,1,TRUE,0.009089752,0.976443935,0.014466313,-1.713814936,2.962954788,-1.249139852,5.550094397,0.051666029,3.487342036,'0.0090897519,'0.9764439353,'0.0144663129,'-1.7138149360,'2.9629547877,'-1.2491398517,'5.5500943965,'0.0516660293,'3.4873420357
6.1,2.9,4.7,1.4,1,1,TRUE,0.003022294,0.779418613,0.217559093,-3.276328918,2.276203343,1.000125574,26.47838971,0.102673283,0.367833248,'0.0030222936,'0.7794186134,'0.2175590930,'-3.2763289175,'2.2762033431,'1.0001255744,'26.4783897058,'0.1026732829,'0.3678332478
5.6,2.9,3.6,1.3,1,1,TRUE,0.074065775,0.915441752,0.010492473,-0.186719246,2.327733942,-2.141014696,1.205288848,0.097516475,8.508066351,'0.0740657750,'0.9154417525,'0.0104924725,'-0.1867192463,'2.3277339423,'-2.1410146960,'1.2052888483,'0.0975164749,'8.5080663513
6.7,3.1,4.4,1.4,1,1,TRUE,0.005257391,0.9263687,0.068373909,-2.578997972,2.592639492,-0.01364152,13.18392088,0.074822286,1.013734991,'0.0052573908,'0.9263687001,'0.0683739092,'-2.5789979718,'2.5926394923,'-0.0136415205,'13.1839208786,'0.0748222864,'1.0137349906
5.6,3,4.5,1.5,1,1,TRUE,0.008613825,0.775043128,0.216343047,-2.574349052,1.925201199,0.649147853,13.12277214,0.14584641,0.522490826,'0.0086138246,'0.7750431279,'0.2163430475,'-2.5743490524,'1.9252011992,'0.6491478531,'13.1227721401,'0.1458464097,'0.5224908260
5.8,2.7,4.1,1,1,1,TRUE,0.016363211,0.965228441,0.018408348,-1.398365977,2.678963253,-1.280597276,4.048579088,0.068634274,3.598788552,'0.0163632108,'0.9652284410,'0.0184083483,'-1.3983659772,'2.6789632527,'-1.2805972756,'4.0485790883,'0.0686342737,'3.5987885523
6.2,2.2,4.5,1.5,1,1,TRUE,0.001801039,0.799492752,0.19870621,-3.599692594,2.495921329,1.103771264,36.58698565,0.08242048,0.331618103,'0.0018010387,'0.7994927516,'0.1987062097,'-3.5996925937,'2.4959213295,'1.1037712643,'36.5869856464,'0.0824204800,'0.3316181030
5.6,2.5,3.9,1.1,1,1,TRUE,0.023859117,0.959446215,0.016694668,-1.112370952,2.581818912,-1.46944796,3.041561248,0.075636303,4.346834851,'0.0238591167,'0.9594462153,'0.0166946680,'-1.1123709520,'2.5818189119,'-1.4694479599,'3.0415612480,'0.0756363031,'4.3468348514
5.9,3.2,4.8,1.8,1,2,FALSE,0.002278412,0.441034107,0.556687481,-3.588056214,1.67758721,1.910469004,36.16371305,0.1868242,0.148010953,'0.0022784122,'0.4410341070,'0.5566874808,'-3.5880562143,'1.6775872101,'1.9104690041,'36.1637130540,'0.1868242002,'0.1480109526
6.1,2.8,4,1.3,1,1,TRUE,0.016754852,0.956751867,0.026493281,-1.50101983,2.543836379,-1.042816549,4.486261962,0.078564418,2.837196875,'0.0167548517,'0.9567518675,'0.0264932809,'-1.5010198299,'2.5438363790,'-1.0428165491,'4.4862619624,'0.0785644180,'2.8371968755
6.3,2.5,4.9,1.5,1,1,TRUE,0.000709072,0.595317715,0.403973213,-4.359346724,2.373546695,1.985800029,78.20602762,0.093149766,0.13727075,'0.0007090720,'0.5953177151,'0.4039732129,'-4.3593467241,'2.3735466955,'1.9858000286,'78.2060276150,'0.0931497659,'0.1372707497
6.1,2.8,4.7,1.2,1,1,TRUE,0.003017042,0.859982253,0.137000705,-3.156114651,2.496520166,0.659594485,23.47919362,0.082371138,0.517060968,'0.0030170422,'0.8599822529,'0.1370007049,'-3.1561146511,'2.4965201663,'0.6595944848,'23.4791936209,'0.0823711383,'0.5170609681
